weighted_rank	benchmark_number	total_benefit_rank	top10_benefit_rank	price_check_frequency	minimal_benefit	minimal_history_size	starting_EUR_amount	crypto0	crypto1	crypto2	crypto3	crypto4	crypto5	crypto6	crypto7	crypto8	crypto9	crypto10	crypto11	crypto12	crypto13	crypto14	crypto15	crypto16	crypto17	crypto18	crypto19	crypto20	crypto21	crypto22	crypto23	crypto24	crypto25
1	benchmark4	1	1	0	43200	4	1000	XXBT: 108.40162515735042,273350.80752022	XETH: 44.375861026274336,81050.53790400001	XMLN: 29.714972711441984,6885.330614400001	LINK: 20.48572643807685,6483.61860806	XLTC: 16.548324083406595,41555.76071393201	TRX: 7.393101524941238,1144.8628439234003	XXMR: 7.342622052882958,9635.26400612	ALGO: 6.700292265888962,1321.6791792539998	WAVES: 4.457160177128931,1562.1417845800001	LSK: 4.2774356139039345,1117.4859950152	ICX: 3.332362981269936,1098.3792365999998	XTZ: 2.6640727766903742,1759.9493779999998	XDG: 2.6303888171681833,612.19011733568	BCH: 2.54259713088823,2800.2434421	OMG: 1.9857267881626517,560.6423790990002	SC: 1.5322877280672957,464.5045120540003	XREP: 1.2185996039985025,1709.1164095979998	BAT: 1.1448233798832934,401.0952312720001	ATOM: 1.0887243869420575,514.5250968	XXRP: 0.7579390523233437,891.5805503380009	PAXG: 0.7439047214155786,210.73064316	NANO: 0.33699498196515115,92.45925378799984	ADA: 0.14678063416840262,99.61736620420015	DASH: 0.12897423927155763,156.39846168199983	QTUM: -0.3412062679563595,-231.4738582839999	XZEC: -0.5650104409756275,-778.826871312
2	benchmark6	2	2	-0.1	60	6	1000	XETH: 95.89217218632324,175142.790624	XXBT: 66.06754101452364,166599.1230387999	XMLN: 29.714972711441984,6885.330614400001	LINK: 20.48572643807685,6483.61860806	TRX: 7.393101524941238,1144.8628439234003	ALGO: 6.700292265888962,1321.6791792539998	WAVES: 4.457160177128931,1562.1417845800001	LSK: 4.2774356139039345,1117.4859950152	XLTC: 3.685381482937114,9254.642964	XXMR: 3.4948633027176865,4586.0906832	ICX: 3.332362981269936,1098.3792365999998	XTZ: 2.6640727766903742,1759.9493779999998	XDG: 2.6303888171681833,612.19011733568	OMG: 1.9857267881626517,560.6423790990002	SC: 1.5322877280672957,464.5045120540003	XREP: 1.4984908384863014,2101.670863248	BAT: 1.1448233798832934,401.0952312720001	ATOM: 1.0887243869420575,514.5250968	ADA: 0.856986748555546,581.6214328728001	PAXG: 0.7439047214155786,210.73064316	NANO: 0.33699498196515115,92.45925378799984	DASH: 0.11706122556749782,141.95234416400012	XXRP: 0.0033059227263884296,3.8888303680001854	BCH: -0.14929783812176917,-164.42647835999992	QTUM: -0.3412062679563595,-231.4738582839999	XZEC: -0.5650104409756275,-778.826871312
3	benchmark15	3	3	-0.5	10	15	1000	XETH: 95.89217218632324,175142.790624	XXBT: 59.539952327475326,150138.83809219993	XMLN: 29.714972711441984,6885.330614400001	LINK: 20.48572643807685,6483.61860806	TRX: 7.393101524941238,1144.8628439234003	ALGO: 6.700292265888962,1321.6791792539998	WAVES: 4.457160177128931,1562.1417845800001	LSK: 4.2774356139039345,1117.4859950152	XLTC: 3.685381482937114,9254.642964	XXMR: 3.4948633027176865,4586.0906832	ICX: 3.332362981269936,1098.3792365999998	XTZ: 2.6640727766903742,1759.9493779999998	XDG: 2.6303888171681833,612.19011733568	OMG: 1.9857267881626517,560.6423790990002	SC: 1.5322877280672957,464.5045120540003	XREP: 1.4984908384863014,2101.670863248	BAT: 1.1448233798832934,401.0952312720001	ATOM: 1.0887243869420575,514.5250968	ADA: 0.856986748555546,581.6214328728001	PAXG: 0.7439047214155786,210.73064316	NANO: 0.33699498196515115,92.45925378799984	BCH: 0.20193305446359955,222.39532352000197	DASH: 0.11706122556749782,141.95234416400012	XXRP: 0.0033059227263884296,3.8888303680001854	QTUM: -0.3412062679563595,-231.4738582839999	XZEC: -0.5650104409756275,-778.826871312
4	benchmark11	4	4	-0.25	60	11	1000	XETH: 95.89217218632324,175142.790624	XXBT: 45.33798436332667,114326.46530035998	XMLN: 29.714972711441984,6885.330614400001	LINK: 20.48572643807685,6483.61860806	TRX: 7.393101524941238,1144.8628439234003	ALGO: 6.700292265888962,1321.6791792539998	WAVES: 4.457160177128931,1562.1417845800001	LSK: 4.2774356139039345,1117.4859950152	XLTC: 3.685381482937114,9254.642964	XXMR: 3.4948633027176865,4586.0906832	ICX: 3.332362981269936,1098.3792365999998	XTZ: 2.6640727766903742,1759.9493779999998	XDG: 2.6303888171681833,612.19011733568	OMG: 1.9857267881626517,560.6423790990002	SC: 1.5322877280672957,464.5045120540003	XREP: 1.4984908384863014,2101.670863248	BAT: 1.1448233798832934,401.0952312720001	ATOM: 1.0887243869420575,514.5250968	ADA: 0.856986748555546,581.6214328728001	PAXG: 0.7439047214155786,210.73064316	NANO: 0.33699498196515115,92.45925378799984	DASH: 0.11706122556749782,141.95234416400012	XXRP: 0.0033059227263884296,3.8888303680001854	BCH: -0.14929783812176917,-164.42647835999992	QTUM: -0.3412062679563595,-231.4738582839999	XZEC: -0.5650104409756275,-778.826871312
5	benchmark10	5	5	-0.25	10	10	1000	XETH: 95.89217218632324,175142.790624	XXBT: 41.73376871050606,105237.89990527996	XMLN: 29.714972711441984,6885.330614400001	LINK: 20.48572643807685,6483.61860806	TRX: 7.393101524941238,1144.8628439234003	ALGO: 6.700292265888962,1321.6791792539998	WAVES: 4.457160177128931,1562.1417845800001	LSK: 4.2774356139039345,1117.4859950152	XLTC: 3.685381482937114,9254.642964	XXMR: 3.4948633027176865,4586.0906832	ICX: 3.332362981269936,1098.3792365999998	XTZ: 2.6640727766903742,1759.9493779999998	XDG: 2.6303888171681833,612.19011733568	OMG: 1.9857267881626517,560.6423790990002	SC: 1.5322877280672957,464.5045120540003	XREP: 1.4984908384863014,2101.670863248	BAT: 1.1448233798832934,401.0952312720001	ATOM: 1.0887243869420575,514.5250968	ADA: 0.856986748555546,581.6214328728001	BCH: 0.7682758682413589,846.1267558399995	PAXG: 0.7439047214155786,210.73064316	NANO: 0.33699498196515115,92.45925378799984	DASH: 0.11706122556749782,141.95234416400012	XXRP: 0.0033059227263884296,3.8888303680001854	QTUM: -0.3412062679563595,-231.4738582839999	XZEC: -0.5650104409756275,-778.826871312
6	benchmark20	6	6	-1	10	20	1000	XETH: 95.89217218632324,175142.790624	XXBT: 39.63388268488462,99942.72522528001	XMLN: 29.714972711441984,6885.330614400001	LINK: 20.48572643807685,6483.61860806	TRX: 7.393101524941238,1144.8628439234003	ALGO: 6.700292265888962,1321.6791792539998	WAVES: 4.457160177128931,1562.1417845800001	LSK: 4.2774356139039345,1117.4859950152	XLTC: 3.685381482937114,9254.642964	XXMR: 3.4948633027176865,4586.0906832	ICX: 3.332362981269936,1098.3792365999998	XTZ: 2.6640727766903742,1759.9493779999998	XDG: 2.6303888171681833,612.19011733568	OMG: 1.9857267881626517,560.6423790990002	SC: 1.5322877280672957,464.5045120540003	XREP: 1.4984908384863014,2101.670863248	BAT: 1.1448233798832934,401.0952312720001	ATOM: 1.0887243869420575,514.5250968	ADA: 0.856986748555546,581.6214328728001	PAXG: 0.7439047214155786,210.73064316	NANO: 0.33699498196515115,92.45925378799984	DASH: 0.11706122556749782,141.95234416400012	XXRP: 0.0033059227263884296,3.8888303680001854	BCH: -0.14929783812176917,-164.42647835999992	QTUM: -0.3412062679563595,-231.4738582839999	XZEC: -0.5650104409756275,-778.826871312
7	benchmark9	7	7	-0.1	43200	9	1000	XETH: 95.89217218632324,175142.790624	XXBT: 39.47168369159198,99533.71635912001	XMLN: 29.714972711441984,6885.330614400001	LINK: 20.48572643807685,6483.61860806	TRX: 7.393101524941238,1144.8628439234003	ALGO: 6.700292265888962,1321.6791792539998	WAVES: 4.457160177128931,1562.1417845800001	LSK: 4.2774356139039345,1117.4859950152	XLTC: 3.685381482937114,9254.642964	XXMR: 3.4948633027176865,4586.0906832	ICX: 3.332362981269936,1098.3792365999998	XTZ: 2.6640727766903742,1759.9493779999998	XDG: 2.6303888171681833,612.19011733568	OMG: 1.9857267881626517,560.6423790990002	SC: 1.5322877280672957,464.5045120540003	XREP: 1.4984908384863014,2101.670863248	BAT: 1.1448233798832934,401.0952312720001	ATOM: 1.0887243869420575,514.5250968	ADA: 0.856986748555546,581.6214328728001	PAXG: 0.7439047214155786,210.73064316	NANO: 0.33699498196515115,92.45925378799984	DASH: 0.11706122556749782,141.95234416400012	XXRP: 0.0033059227263884296,3.8888303680001854	BCH: -0.14929783812176917,-164.42647835999992	QTUM: -0.3412062679563595,-231.4738582839999	XZEC: -0.5650104409756275,-778.826871312
8	benchmark8	8	8	-0.1	10080	8	1000	XETH: 95.89217218632324,175142.790624	XXBT: 39.47168369159198,99533.71635912001	XMLN: 29.714972711441984,6885.330614400001	LINK: 20.48572643807685,6483.61860806	TRX: 7.393101524941238,1144.8628439234003	ALGO: 6.700292265888962,1321.6791792539998	WAVES: 4.457160177128931,1562.1417845800001	LSK: 4.2774356139039345,1117.4859950152	XLTC: 3.685381482937114,9254.642964	XXMR: 3.4948633027176865,4586.0906832	ICX: 3.332362981269936,1098.3792365999998	XTZ: 2.6640727766903742,1759.9493779999998	XDG: 2.6303888171681833,612.19011733568	OMG: 1.9857267881626517,560.6423790990002	SC: 1.5322877280672957,464.5045120540003	XREP: 1.4984908384863014,2101.670863248	BAT: 1.1448233798832934,401.0952312720001	ATOM: 1.0887243869420575,514.5250968	ADA: 0.856986748555546,581.6214328728001	PAXG: 0.7439047214155786,210.73064316	NANO: 0.33699498196515115,92.45925378799984	DASH: 0.11706122556749782,141.95234416400012	XXRP: 0.0033059227263884296,3.8888303680001854	BCH: -0.14929783812176917,-164.42647835999992	QTUM: -0.3412062679563595,-231.4738582839999	XZEC: -0.5650104409756275,-778.826871312
9	benchmark7	9	9	-0.1	1440	7	1000	XETH: 95.89217218632324,175142.790624	XXBT: 39.47168369159198,99533.71635912001	XMLN: 29.714972711441984,6885.330614400001	LINK: 20.48572643807685,6483.61860806	TRX: 7.393101524941238,1144.8628439234003	ALGO: 6.700292265888962,1321.6791792539998	WAVES: 4.457160177128931,1562.1417845800001	LSK: 4.2774356139039345,1117.4859950152	XLTC: 3.685381482937114,9254.642964	XXMR: 3.4948633027176865,4586.0906832	ICX: 3.332362981269936,1098.3792365999998	XTZ: 2.6640727766903742,1759.9493779999998	XDG: 2.6303888171681833,612.19011733568	OMG: 1.9857267881626517,560.6423790990002	SC: 1.5322877280672957,464.5045120540003	XREP: 1.4984908384863014,2101.670863248	BAT: 1.1448233798832934,401.0952312720001	ATOM: 1.0887243869420575,514.5250968	ADA: 0.856986748555546,581.6214328728001	PAXG: 0.7439047214155786,210.73064316	NANO: 0.33699498196515115,92.45925378799984	DASH: 0.11706122556749782,141.95234416400012	XXRP: 0.0033059227263884296,3.8888303680001854	BCH: -0.14929783812176917,-164.42647835999992	QTUM: -0.3412062679563595,-231.4738582839999	XZEC: -0.5650104409756275,-778.826871312
10	benchmark34	10	10	-5	43200	34	1000	XETH: 95.89217218632324,175142.790624	XXBT: 39.47168369159198,99533.71635912001	XMLN: 29.714972711441984,6885.330614400001	LINK: 20.48572643807685,6483.61860806	TRX: 7.393101524941238,1144.8628439234003	ALGO: 6.700292265888962,1321.6791792539998	WAVES: 4.457160177128931,1562.1417845800001	LSK: 4.2774356139039345,1117.4859950152	XLTC: 3.685381482937114,9254.642964	XXMR: 3.4948633027176865,4586.0906832	ICX: 3.332362981269936,1098.3792365999998	XTZ: 2.6640727766903742,1759.9493779999998	XDG: 2.6303888171681833,612.19011733568	OMG: 1.9857267881626517,560.6423790990002	SC: 1.5322877280672957,464.5045120540003	XREP: 1.4984908384863014,2101.670863248	BAT: 1.1448233798832934,401.0952312720001	ATOM: 1.0887243869420575,514.5250968	ADA: 0.856986748555546,581.6214328728001	PAXG: 0.7439047214155786,210.73064316	NANO: 0.33699498196515115,92.45925378799984	DASH: 0.11706122556749782,141.95234416400012	XXRP: 0.0033059227263884296,3.8888303680001854	BCH: -0.14929783812176917,-164.42647835999992	QTUM: -0.3412062679563595,-231.4738582839999	XZEC: -0.5650104409756275,-778.826871312
