weighted_rank	benchmark_number	total_benefit_rank	top10_benefit_rank	price_check_frequency	minimal_benefit	minimal_history_size	starting_EUR_amount	crypto0	crypto1	crypto2	crypto3
1	benchmark43	1	1	0.02	120	1.01	1000	ADA: 33.69609793219944,1044.6258360341997	XETH: 32.12904234906421,996.6250442	XXBT: 21.20266346222283,657.3709117600004	XXLM: 19.697711356161307,611.8875169331998
2	benchmark51	2	2	0.02	120	1.02	1000	XETH: 31.96634117080685,991.5781440400003	ADA: 28.265045311445895,876.2556616621998	XXLM: 22.134619544507217,687.5873621284006	XXBT: 18.33856525456257,568.5719335800004
3	benchmark34	3	3	0.02	120	1.005	1000	ADA: 31.500867495540184,976.5706435666007	XETH: 29.546453961529497,916.5145871899997	XXLM: 19.730270017152456,612.8989155605998	XXBT: 18.516643596075802,574.0931041600002
4	benchmark42	4	4	0.02	120	1.01	1000	XETH: 31.540703356317714,978.3750954999998	ADA: 30.299616659841405,939.330199256	XXBT: 20.115647593603022,623.6688906000004	XXLM: 16.16680811216238,502.20393088419974
5	benchmark33	5	5	0.02	120	1.005	1000	XETH: 27.501181891501744,853.07138384	ADA: 25.32832054989078,785.2131152696002	XXLM: 24.294033911373322,754.6671700857996	XXBT: 18.34614725805671,568.8070072799999
6	benchmark15	6	6	0.02	60	1.01	1000	XXLM: 27.72068615808783,861.1123147386006	XETH: 22.895050296982184,710.1917407400001	ADA: 22.83427429524341,707.8942174224003	XXBT: 20.923521242628688,648.7163398600003
7	benchmark6	7	7	0.02	60	1.005	1000	XXLM: 26.95785276112459,837.4157428546009	XETH: 25.67701285903107,796.4866738799999	ADA: 24.91301986279109,772.3382171629999	XXBT: 13.351764011288813,413.96031670000025
8	benchmark7	8	8	0.02	60	1.005	1000	ADA: 32.17040547952514,997.3272509840008	XXLM: 24.362253944060814,756.7863496012003	XETH: 20.86131223913314,647.1063160399995	XXBT: 13.162626582663622,408.09626834000005
9	benchmark4	9	9	0.02	60	1.005	1000	ADA: 36.472742197090845,1130.705664696201	XXLM: 23.471361625465804,729.1117696044003	XETH: 18.508220288349605,574.1147110000002	XXBT: 11.807494723397413,366.0815343200006
10	benchmark36	10	10	0.02	120	1.01	1000	XETH: 29.437714721662058,913.1415563800006	XXLM: 23.16910249595422,719.7224255896001	ADA: 21.905465337251197,679.0998497122	XXBT: 14.218209102002433,440.8237247000004
11	benchmark40	11	11	0.02	120	1.01	1000	XETH: 29.638961595415058,919.3841226	ADA: 25.733897065519287,797.7865505548	XXBT: 16.867535205913182,522.96387278	XXLM: 16.20850558476256,503.4992165399992
12	benchmark31	12	12	0.02	120	1.005	1000	ADA: 32.28658934334198,1000.9291121288004	XETH: 25.49699689162714,790.9026785800008	XXBT: 15.221902391184004,471.9423987200007	XXLM: 13.67015137419869,424.64806338239987
13	benchmark27	13	13	0.02	120	1.005	1000	XETH: 24.85722586814723,771.0573368600003	XXLM: 22.95716470035668,713.1388134558022	ADA: 22.882843389111972,709.3999267894005	XXBT: 15.42111861480987,478.118931720001
14	benchmark52	14	14	0.02	120	1.02	1000	XETH: 28.801036000501473,893.3921361599998	ADA: 24.08809116592982,746.7642818259994	XXBT: 20.423628907942486,633.2175946000002	XXLM: 12.254782160032919,380.68119137680037
15	benchmark30	15	15	0.02	120	1.005	1000	XETH: 28.516445980334908,884.5643118399998	ADA: 22.295381417692763,691.1877897560003	XXLM: 18.079728172491837,561.6266670916007	XXBT: 15.522065559575333,481.24870762000023
16	benchmark48	16	16	0.02	120	1.02	1000	XETH: 30.55782414664637,947.8867284600001	ADA: 20.84472960125371,646.2155686522001	XXBT: 16.654067497809436,516.34548438	XXLM: 16.201855700437463,503.2926452722004
17	benchmark28	17	17	0.02	120	1.005	1000	XETH: 28.241096758807227,876.0231319600009	ADA: 24.229308309996874,751.1422094270004	XXLM: 16.14386437704445,501.4912092458003	XXBT: 15.558949335626973,482.3922583600013
18	benchmark39	18	18	0.02	120	1.01	1000	ADA: 24.85419498743676,770.5145643257999	XETH: 24.232279656917694,751.6718525799997	XXLM: 18.71140741347759,581.2490808469997	XXBT: 15.87303132611208,492.13010873999997
19	benchmark24	19	19	0.02	60	1.02	1000	ADA: 25.995135640759457,805.8853092185998	XETH: 22.78194521199965,706.6832838400003	XXLM: 18.84650298802113,585.4456747640008	XXBT: 15.654554457734188,485.35641550000037
20	benchmark1	20	20	0.02	60	1.005	1000	ADA: 33.10315765186937,1026.2438638158003	XETH: 18.659795099704493,578.8164774400002	XXLM: 18.04311500308899,560.4893196654004	XXBT: 13.330422328826783,413.29863562000037
21	benchmark13	21	21	0.02	60	1.01	1000	XETH: 29.953118116092043,929.1290833399996	ADA: 21.381158219248984,662.8456008498008	XXBT: 15.98537855858083,495.6133410599998	XXLM: 15.026332948923175,466.77633713279965
22	benchmark16	22	22	0.02	60	1.01	1000	XETH: 21.824132893561387,676.97247784	XXBT: 20.941850887353855,649.2846352200002	ADA: 19.750638050892345,612.2972110194	XXLM: 19.535914136882777,606.8614660910002
23	benchmark3	23	23	0.02	60	1.005	1000	ADA: 27.89289924356652,864.7186166884005	XXLM: 22.354048219937404,694.403670121	XETH: 19.184914372203817,595.10538554	XXBT: 11.953965323585557,370.62273322000055
24	benchmark22	24	24	0.02	60	1.02	1000	XETH: 23.290276820202372,722.4514479199997	XXLM: 22.588066917203598,701.6732009307996	ADA: 21.912403556786167,679.3149441542	XXBT: 13.323457884907938,413.0827088399999
25	benchmark49	25	25	0.02	120	1.02	1000	XETH: 28.683250899400008,889.7385077599997	ADA: 22.09481170825538,684.9698501944006	XXBT: 18.66024847498993,578.5454537600003	XXLM: 11.63038153463223,361.28487972720063
26	benchmark37	26	26	0.02	120	1.01	1000	XETH: 29.60955393849737,918.4719134200004	ADA: 23.429241340736368,726.3390221758007	XXBT: 15.166456987394186,470.22336018000055	XXLM: 12.602486758894731,391.4822484019994
27	benchmark0	27	27	0.02	60	1.005	1000	ADA: 26.465059555956117,820.4536032618007	XETH: 23.464715467215917,727.8624378400004	XXLM: 13.868149490590366,430.79865487020015	XXBT: 13.508758417632055,418.8277974400005
28	benchmark21	28	28	0.02	60	1.02	1000	XETH: 22.892407094259877,710.1097500600001	ADA: 20.08748821707772,622.7400340185998	XXLM: 17.77980012996872,552.3097357040006	XXBT: 14.238378584598852,441.44906270000024
29	benchmark45	29	29	0.02	120	1.02	1000	XXLM: 21.380944303762526,664.1752781916009	ADA: 19.908129112557315,617.1796526685998	XETH: 19.758276615098072,612.8907637800005	XXBT: 13.347326012955245,413.82272025999987
30	benchmark12	30	30	0.02	60	1.01	1000	XETH: 23.252601500062664,721.2827804199994	XXLM: 21.942813663617276,681.6291255562	ADA: 16.480165156004166,510.90800895440134	XXBT: 11.21005545018144,347.55842752000035
31	benchmark18	31	31	0.02	60	1.02	1000	XETH: 25.42509476958898,788.6723147000005	ADA: 18.077929823862387,560.4409327756005	XXLM: 16.89783010868141,524.9123169594006	XXBT: 11.821656670232503,366.5206136800002
32	benchmark19	32	32	0.02	60	1.02	1000	XETH: 23.871541857759496,740.4819664600009	XXLM: 19.746324095068587,613.3976176532001	ADA: 18.644733809941155,578.0126435718007	XXBT: 9.446803203870456,292.89026100000024
33	benchmark46	33	33	0.02	120	1.02	1000	XETH: 26.88327073792423,833.9041231399997	ADA: 19.10611057738416,592.3159641635998	XXLM: 14.605544756866689,453.7050194890005	XXBT: 11.075344304905268,343.3818207200004
34	benchmark25	34	34	0.02	60	1.02	1000	XETH: 21.623483167189047,670.7484348000003	ADA: 18.873499113167334,585.1046857014001	XXLM: 16.350081654279542,507.8971198328004	XXBT: 14.691092488859024,455.48508003999996
35	benchmark8	35	35	0.02	60	1.005	1000	XETH: 21.196035980514,657.4892605399996	XXBT: 19.014558522349134,589.5305415199996	ADA: 18.645326250727138,578.0310100590007	XXLM: 1.9561272779833792,60.76492041580036
36	benchmark35	36	36	0.02	120	1.005	1000	XETH: 21.60656533099311,670.2236529200002	XXBT: 19.026862293777704,589.9120096999995	ADA: 18.645326250727138,578.0310100590007	XXLM: 0.9423880028128506,29.274236209600303
37	benchmark87	37	37	0.05	120	1.005	1000	XETH: 21.849828295083714,677.7695349199996	ADA: 18.366525642851848,569.3878039918002	XXLM: 12.898345520309755,400.6727720934	XXBT: 3.800049460018813,117.81736679999995
38	benchmark96	38	38	0.05	120	1.01	1000	ADA: 20.166318249388823,625.1838745063999	XETH: 17.992824257687836,558.1274124600002	XXLM: 14.281331078752405,443.6336818158004	XXBT: 3.800049460018813,117.81736679999995
39	benchmark88	39	39	0.05	120	1.005	1000	XETH: 21.849828295083714,677.7695349199996	ADA: 17.217530384940485,533.7673551698008	XXLM: 12.637210507027454,392.56090305580005	XXBT: 3.800049460018813,117.81736679999995
40	benchmark97	40	40	0.05	120	1.01	1000	ADA: 19.49302431327484,604.3108273563996	XETH: 17.992824257687836,558.1274124600002	XXLM: 13.89515627440293,431.63759060179996	XXBT: 3.800049460018813,117.81736679999995
41	benchmark44	41	41	0.02	120	1.01	1000	XETH: 21.640936295370306,671.2898211400006	XXBT: 16.2598473798683,504.1230181400001	ADA: 15.291797973971061,474.0669758014001	XXLM: 1.685599163307884,52.36126512020019
42	benchmark17	42	42	0.02	60	1.01	1000	XETH: 20.615898294546447,639.4937118200005	XXBT: 16.287356966859296,504.97592996000003	ADA: 14.820161865769448,459.4456013969998	XXLM: 2.5196717682117544,78.27080384420015
43	benchmark10	43	43	0.02	60	1.01	1000	XETH: 20.922839849771655,649.0148683400002	ADA: 14.209294362469093,440.50786036760087	XXLM: 9.543484202064574,296.4577328658004	XXBT: 9.228508485203623,286.1222151600007
44	benchmark32	44	44	0.02	120	1.005	1000	XETH: 23.082371152144724,716.0023296000004	XXBT: 15.280590424942899,473.7619723000005	ADA: 12.572825758825855,389.7750607815999	XXLM: 0.6834952154362948,21.232019428400235
45	benchmark5	45	45	0.02	60	1.005	1000	XETH: 22.65436682847678,702.7258732600005	XXBT: 16.362563197849763,507.3076364800004	ADA: 12.572825758825855,389.7750607815999	XXLM: -0.12594951202646223,-3.9124816471997974
46	benchmark41	46	46	0.02	120	1.01	1000	XETH: 25.91883630991315,803.9879029800004	XXBT: 12.617846394194327,391.20581257999993	ADA: 10.309700008174556,319.6150192812004	XXLM: 1.3103455433411493,40.7044283644002
47	benchmark53	47	47	0.02	120	1.02	1000	XETH: 20.008777243950927,620.66115412	XXBT: 13.011180722806076,403.40081566000003	ADA: 12.558593923433548,389.3338541180003	XXLM: 2.90438240461486,90.22141230779994
48	benchmark142	48	48	0.07	120	1.005	1000	XETH: 18.68813775624608,579.6956508999999	XXLM: 13.641167270726642,423.7477044126001	ADA: 12.44797995372107,385.9046674264	XXBT: 3.473381041902968,107.68928471999993
49	benchmark9	49	49	0.02	60	1.01	1000	ADA: 16.52944548170425,512.4357674960008	XETH: 12.599334523864965,390.8243573000002	XXLM: 9.929836604956796,308.4593409811996	XXBT: 8.908441355301695,276.1988005199996
50	benchmark26	50	50	0.02	60	1.02	1000	XETH: 20.480682660123595,635.2993979600005	XXBT: 13.127544303185056,407.0085715	ADA: 12.427022952235482,385.2549712734003	XXLM: 1.8434806232288254,57.265677248799875
51	benchmark84	51	51	0.05	120	1.005	1000	XETH: 15.0348666725889,466.3732114800007	ADA: 13.630821956904441,422.5744123612001	XXLM: 12.075980818299202,375.1269263639999	XXBT: 6.47723316091923,200.82121645999996
52	benchmark106	52	52	0.05	120	1.02	1000	XXLM: 16.585877884951085,515.2218677428	XETH: 15.323379852637238,475.3227300400001	ADA: 10.806434297983067,335.01447217400005	XXBT: 3.4663192323612457,107.47033920000013
53	benchmark60	53	53	0.05	60	1.005	1000	ADA: 18.132069099286966,562.1193255072005	XETH: 13.221682304934188,410.1292397200002	XXLM: 9.799434336429231,304.40853940080024	XXBT: 3.946393219190969,122.3546331
54	benchmark93	54	54	0.05	120	1.01	1000	XETH: 15.319507761368323,475.2026199200002	XXLM: 14.70693711562337,456.8546604556004	ADA: 12.209109928099272,378.4993648681998	XXBT: 2.531221546566323,78.47841470000003
55	benchmark105	55	55	0.05	120	1.02	1000	XETH: 15.323379852637238,475.3227300400001	XXLM: 14.278376428530445,443.5418988895999	ADA: 11.583967608738677,359.1190847148	XXBT: 3.4663192323612457,107.47033920000013
